Timestamp,tcpActiveOpens,tcpCurrEstab,tcpEstabResets,tcpInSegs,tcpOutRsts,tcpOutSegs,tcpPassiveOpens,tcpRetransSegs,udpInDatagrams,udpInErrors,udpNoPorts,udpOutDatagrams,ipForwDatagrams,ipInAddrErrors,ipInDelivers,ipInDiscards,ipInReceives,ipOutNoRoutes,ipOutDiscards,ipOutRequests,icmpInDestUnreachs,icmpInEchos,icmpInMsgs,icmpOutDestUnreachs,icmpOutEchoReps,icmpOutMsgs,ifInDiscards_enp0s9,ifInNUcastPkts_enp0s9,ifInOctets_enp0s9,ifInUcastPkts_enp0s9,ifoutDiscards_enp0s9,ifOutNUcastPkts_enp0s9,ifOutOctets_ens0p9,ifOutUcastPkts_enp0s9
2026-03-22 14:38:09,17,0,1,1010,15,621,0,41,4393,0,40,4519,314,0,5717,0,6034,4,20,5427,123,155,278,102,155,257,0,0,17818,179,0,0,46541,216
2026-03-22 14:38:24,17,0,1,1010,15,621,0,41,4427,0,40,4553,336,0,5751,0,6090,4,20,5461,123,155,278,102,155,257,0,0,18994,191,0,0,48011,231
2026-03-22 14:38:39,17,0,1,1010,15,621,0,41,4461,0,40,4587,366,0,5785,0,6154,4,20,5495,123,155,278,102,155,257,0,0,20486,207,0,0,49209,244
2026-03-22 14:38:54,17,0,1,1010,15,621,0,41,4495,0,40,4621,396,0,5819,0,6218,4,20,5529,123,155,278,102,155,257,0,0,22114,224,0,0,50837,261
2026-03-22 14:39:09,17,0,1,1010,15,621,0,41,4529,0,40,4655,418,0,5853,0,6274,4,20,5563,123,155,278,102,155,257,0,0,23192,235,0,0,51915,272
2026-03-22 14:39:24,17,0,1,1010,15,621,0,41,4563,0,40,4689,444,0,5887,0,6334,4,20,5597,123,155,278,102,155,257,0,0,24586,250,0,0,53309,287
2026-03-22 14:39:39,17,0,1,1010,15,621,0,41,4597,0,40,4723,468,0,5921,0,6392,4,20,5631,123,155,278,102,155,257,0,0,25762,262,0,0,54485,299
2026-03-22 14:39:54,17,0,1,1010,15,621,0,41,4631,0,40,4757,502,0,5955,0,6460,4,20,5665,123,155,278,102,155,257,0,0,27548,281,0,0,56271,318
2026-03-22 14:40:09,17,0,1,1010,15,621,0,41,4665,0,40,4791,524,0,5989,0,6516,4,20,5699,123,155,278,102,155,257,0,0,28430,290,0,0,57447,330
2026-03-22 14:40:24,17,0,1,1010,15,621,0,41,4699,0,40,4825,538,0,6023,0,6564,4,20,5733,123,155,278,102,155,257,0,0,29568,302,0,0,58291,339
2026-03-22 14:40:39,17,0,1,1010,15,621,0,41,4733,0,40,4859,559,0,6057,0,6619,4,20,5767,123,155,278,102,155,257,0,0,30171,310,0,0,59760,346
2026-03-22 14:40:54,17,0,1,1010,15,621,0,41,4767,0,40,4893,559,0,6091,0,6653,4,20,5801,123,155,278,102,155,257,0,0,30231,311,0,0,60460,354
2026-03-22 14:41:09,17,0,1,1010,15,621,0,41,4801,0,40,4927,574,0,6125,0,6702,4,20,5835,123,155,278,102,155,257,0,0,30834,319,0,0,60460,354
2026-03-22 14:41:24,17,0,1,1010,15,621,0,41,4835,0,40,4961,574,0,6159,0,6736,4,20,5869,123,155,278,102,155,257,0,0,30834,319,0,0,60460,354
2026-03-22 14:41:39,17,0,1,1010,15,621,0,41,4869,0,40,4995,576,0,6193,0,6772,4,20,5903,123,155,278,102,155,257,0,0,31133,323,0,0,60824,358
2026-03-22 14:46:04,17,0,1,1010,15,621,0,41,4939,0,40,5065,1655,0,6263,0,7921,4,20,5973,123,155,278,102,155,257,0,0,60386,767,0,0,3009428,1721
2026-03-22 14:46:19,17,0,1,1010,15,621,0,41,4973,0,40,5099,1655,0,6297,0,7955,4,20,6007,123,155,278,102,155,257,0,0,60386,767,0,0,3009428,1721
2026-03-22 14:46:34,17,0,1,1010,15,621,0,41,5007,0,40,5133,1655,0,6331,0,7989,4,20,6041,123,155,278,102,155,257,0,0,60386,767,0,0,3009428,1721
2026-03-22 14:46:49,17,0,1,1010,15,621,0,41,5041,0,40,5167,1655,0,6365,0,8023,4,20,6075,123,155,278,102,155,257,0,0,60386,767,0,0,3009428,1721
2026-03-22 14:47:04,17,0,1,1010,15,621,0,41,5075,0,40,5201,1655,0,6399,0,8057,4,20,6109,123,155,278,102,155,257,0,0,60386,767,0,0,3009428,1721
2026-03-22 14:47:19,17,0,1,1010,15,621,0,41,5110,0,40,5236,1655,0,6434,0,8092,4,20,6144,123,155,278,102,155,257,0,0,60386,767,0,0,3009428,1721
2026-03-22 14:48:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-22 14:49:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-22 14:49:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-22 14:49:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-22 14:49:55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-22 14:50:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-22 14:50:25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-22 14:50:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-22 14:50:55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
